TimeInterval,TradeCount,Volume,BATS Y,NASDAQ OMX PSX,Direct Edge X,Chicago,BATS,CBOE,Direct Edge A,NASDAQ,NYSE Arca SM,NASDAQ OMX BX,National
2014-03-13 09:50:00,10,518,70,100,0,0,115,0,0,233,0,0,0
2014-03-13 09:50:04,6,492,0,0,0,0,0,100,0,292,100,0,0
2014-03-13 09:50:15,1,19,0,0,0,0,0,0,0,19,0,0,0
2014-03-13 09:50:17,1,20,0,0,0,0,0,0,0,20,0,0,0
2014-03-13 09:50:25,14,789,0,0,91,0,300,0,0,398,0,0,0
2014-03-13 09:50:26,2,500,0,0,100,0,0,0,0,400,0,0,0
2014-03-13 09:50:27,5,300,0,0,0,0,100,0,0,100,100,0,0
2014-03-13 09:50:29,3,200,0,0,50,0,100,0,0,50,0,0,0
2014-03-13 09:50:31,1,100,0,0,0,0,0,0,0,0,100,0,0
2014-03-13 09:50:34,3,62,0,0,0,0,0,0,0,62,0,0,0
2014-03-13 09:50:35,10,1174,0,0,831,0,0,0,100,243,0,0,0
2014-03-13 09:50:36,21,1003,0,0,200,0,200,0,0,603,0,0,0
2014-03-13 09:50:37,1,100,0,0,0,0,0,0,0,0,100,0,0
2014-03-13 09:50:39,4,470,0,0,0,0,170,0,0,300,0,0,0
2014-03-13 09:50:56,22,371,0,0,0,0,0,0,0,101,270,0,0
2014-03-13 09:51:01,2,110,100,0,10,0,0,0,0,0,0,0,0
2014-03-13 09:51:10,2,100,0,0,0,0,0,0,0,0,0,100,0
2014-03-13 09:51:11,9,1050,0,0,0,0,570,0,0,0,360,120,0
2014-03-13 09:51:21,1,30,0,0,0,0,0,0,0,0,30,0,0
2014-03-13 09:51:23,6,548,0,0,0,0,200,0,200,148,0,0,0
2014-03-13 09:51:35,1,5,0,0,0,0,0,0,5,0,0,0,0
2014-03-13 09:51:50,2,200,100,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:51:56,2,101,0,0,0,0,101,0,0,0,0,0,0
2014-03-13 09:51:57,14,1009,0,0,149,0,424,0,0,436,0,0,0
2014-03-13 09:52:12,5,500,0,0,0,0,0,0,0,300,200,0,0
2014-03-13 09:52:19,16,1533,100,0,980,0,113,0,0,240,0,100,0
2014-03-13 09:52:29,1,29,0,0,0,0,0,0,0,29,0,0,0
2014-03-13 09:52:31,2,42,0,0,0,0,0,0,0,42,0,0,0
2014-03-13 09:52:33,1,100,0,0,0,0,0,0,0,100,0,0,0
2014-03-13 09:52:34,1,97,0,0,0,0,0,0,0,97,0,0,0
2014-03-13 09:52:36,2,186,0,0,0,0,0,0,0,186,0,0,0
2014-03-13 09:52:51,2,30,0,0,0,0,0,0,0,10,20,0,0
2014-03-13 09:52:52,1,100,0,0,0,0,0,0,0,0,100,0,0
2014-03-13 09:53:00,2,102,0,0,2,0,0,0,0,100,0,0,0
2014-03-13 09:53:01,2,100,0,0,0,0,0,0,0,0,100,0,0
2014-03-13 09:53:02,1,10,0,0,0,0,0,0,0,10,0,0,0
2014-03-13 09:53:03,1,35,0,0,0,0,0,0,0,35,0,0,0
2014-03-13 09:53:04,2,55,0,0,0,0,0,0,0,5,50,0,0
2014-03-13 09:53:05,10,901,0,0,800,0,0,0,0,1,0,100,0
2014-03-13 09:53:06,1,10,0,0,0,0,0,0,0,10,0,0,0
2014-03-13 09:53:13,9,523,0,0,0,0,360,0,0,163,0,0,0
2014-03-13 09:53:23,9,900,0,0,0,0,0,0,0,100,800,0,0
2014-03-13 09:53:24,11,1100,100,0,0,0,0,0,0,200,800,0,0
2014-03-13 09:53:25,1,50,0,0,0,0,0,0,0,50,0,0,0
2014-03-13 09:53:26,4,301,0,0,0,0,0,0,0,0,301,0,0
2014-03-13 09:53:29,2,109,0,0,0,0,0,0,0,0,109,0,0
2014-03-13 09:53:33,1,5,0,0,0,0,0,0,0,5,0,0,0
2014-03-13 09:53:34,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:53:41,2,50,0,0,0,0,0,0,0,50,0,0,0
2014-03-13 09:53:53,5,610,0,0,0,0,0,0,0,110,500,0,0
2014-03-13 09:53:57,1,100,0,0,0,0,0,0,0,100,0,0,0
2014-03-13 09:53:58,17,1398,0,0,0,0,0,0,0,161,1237,0,0
2014-03-13 09:53:59,3,300,0,0,0,0,0,0,0,0,300,0,0
2014-03-13 09:54:00,6,463,0,0,0,0,0,0,0,0,463,0,0
2014-03-13 09:54:01,3,150,0,0,0,0,0,0,0,150,0,0,0
2014-03-13 09:54:02,1,70,0,0,0,0,0,0,0,0,70,0,0
2014-03-13 09:54:04,1,100,0,0,0,0,0,0,0,100,0,0,0
2014-03-13 09:54:13,1,100,0,0,0,0,0,0,0,0,100,0,0
2014-03-13 09:54:19,1,32,0,0,0,0,32,0,0,0,0,0,0
2014-03-13 09:54:24,1,300,0,0,0,0,0,0,0,300,0,0,0
2014-03-13 09:54:31,18,1437,0,0,50,0,264,0,0,533,590,0,0
2014-03-13 09:54:32,6,127,0,0,0,0,0,0,0,127,0,0,0
2014-03-13 09:54:33,1,25,0,0,0,0,25,0,0,0,0,0,0
2014-03-13 09:54:38,3,125,0,0,0,0,0,0,0,125,0,0,0
2014-03-13 09:54:44,1,100,0,0,0,0,0,0,0,100,0,0,0
2014-03-13 09:54:52,1,10,0,0,0,0,10,0,0,0,0,0,0
2014-03-13 09:54:59,1,6,0,0,0,0,0,0,0,6,0,0,0
2014-03-13 09:55:04,2,150,150,0,0,0,0,0,0,0,0,0,0
2014-03-13 09:55:07,1,13,0,0,0,0,0,0,0,13,0,0,0
2014-03-13 09:55:09,5,123,0,0,0,0,68,0,0,52,0,3,0
2014-03-13 09:55:28,2,30,0,0,0,0,0,0,0,20,10,0,0
2014-03-13 09:55:36,2,75,0,0,74,0,0,0,0,1,0,0,0
2014-03-13 09:55:49,1,2,0,0,0,0,0,0,0,0,2,0,0
2014-03-13 09:55:50,5,308,0,0,200,0,0,0,0,100,8,0,0
2014-03-13 09:55:57,2,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:56:07,1,10,0,0,0,0,0,0,0,10,0,0,0
